Tempo PWM Esq Dir
3008 -100 0 0
3030 -100 -5 -5
3051 -100 -12 -13
3072 -100 -22 -22
3093 -100 -33 -33
3115 -100 -45 -45
3136 -100 -58 -58
3158 -100 -72 -72
3179 -100 -85 -85
3200 -100 -99 -99
3221 -100 -113 -113
3243 -100 -128 -127
3264 -100 -142 -141
3286 -100 -157 -156
3307 -100 -172 -170
3328 -100 -185 -184
3349 -100 -200 -199
3371 -100 -215 -213
3392 -100 -230 -228
3414 -100 -244 -243
3435 -100 -259 -257
3456 -100 -273 -272
3477 -100 -288 -286
3499 -100 -302 -301
3520 -100 -317 -316
3542 -100 -332 -330
3563 -100 -347 -345
3584 -100 -361 -359
3605 -100 -375 -374
3627 -100 -390 -389
3648 -100 -405 -404
3670 -100 -420 -419
3691 -100 -434 -433
3712 -100 -448 -448
3733 -100 -463 -462
3755 -100 -478 -477
3776 -100 -493 -492
3798 -100 -507 -507
3819 -100 -522 -522
3840 -100 -536 -536
3861 -100 -551 -550
3883 -100 -566 -565
3904 -100 -580 -580
3926 -100 -595 -594
3947 -100 -610 -609
3968 -100 -624 -623
3989 -100 -639 -637
4011 -100 -654 -652
4032 -100 -668 -666
4054 -100 -683 -681
4075 -100 -698 -696
4096 -100 -712 -710
4117 -100 -727 -725
4139 -100 -741 -739
4160 -100 -756 -754
4182 -100 -771 -769
4203 -100 -786 -784
4224 -100 -800 -798
4245 -100 -815 -813
4267 -100 -829 -827
4288 -100 -844 -842
4310 -100 -859 -857
4331 -100 -874 -872
4352 -100 -888 -886
4373 -100 -903 -901
4395 -100 -917 -915
4416 -100 -932 -930
4438 -100 -947 -945
4459 -100 -962 -960
4480 -100 -976 -974
4501 -100 -991 -989
4523 -100 -1005 -1004
4544 -100 -1020 -1019
4566 -100 -1035 -1034
4587 -100 -1050 -1049
4608 -100 -1064 -1063
4629 -100 -1079 -1077
4651 -100 -1093 -1092
4672 -100 -1108 -1107
4694 -100 -1123 -1122
4715 -100 -1138 -1136
4736 -100 -1152 -1150
4757 -100 -1167 -1165
4779 -100 -1181 -1179
4800 -100 -1196 -1194
4822 -100 -1211 -1209
4843 -100 -1226 -1223
4864 -100 -1240 -1237
4885 -100 -1255 -1252
4907 -100 -1270 -1267
4928 -100 -1285 -1282
4950 -100 -1299 -1296
4971 -100 -1314 -1311
4992 -100 -1328 -1325
5013 -100 -1343 -1340
5035 -100 -1358 -1355
5056 -100 -1373 -1370
5078 -100 -1388 -1385
5099 -100 -1403 -1399
5120 -100 -1417 -1414
5141 -100 -1432 -1428
5163 -100 -1446 -1443
5184 -100 -1461 -1458
5206 -100 -1476 -1473
5227 -100 -1491 -1488
5248 -100 -1505 -1503
5269 -100 -1520 -1519
5291 -100 -1535 -1535
5312 -100 -1550 -1551
5334 -100 -1565 -1566
5355 -100 -1581 -1582
5376 -100 -1597 -1598
5397 -100 -1613 -1614
5419 -100 -1629 -1630
5440 -100 -1644 -1645
5462 -100 -1660 -1661
5484 -100 -1676 -1677
5507 -100 -1692 -1692
5530 -100 -1708 -1708
5553 -100 -1724 -1724
5576 -100 -1739 -1739
5599 -100 -1755 -1755
5621 -100 -1771 -1770
5645 -100 -1787 -1786
5667 -100 -1803 -1802
5690 -100 -1818 -1817
5713 -100 -1834 -1833
5736 -100 -1850 -1849
5758 -100 -1866 -1864
5782 -100 -1882 -1880
5805 -100 -1898 -1896
5827 -100 -1914 -1912
5851 -100 -1929 -1927
5873 -100 -1945 -1943
5896 -100 -1961 -1959
5919 -100 -1977 -1975
5942 -100 -1993 -1991
5964 -100 -2009 -2006
5988 -100 -2024 -2022
6010 100 -2028 -2022
6032 100 -2026 -2020
6054 100 -2021 -2013
6076 100 -2012 -2004
6097 100 -2002 -1993
6120 100 -1990 -1981
6141 100 -1977 -1968
6163 100 -1964 -1954
6185 100 -1950 -1940
6207 100 -1936 -1926
6228 100 -1921 -1912
6251 100 -1907 -1897
